Version,Date,New_Features,Bugs,Improvements,Docs
3.8.3.4,7/15/2016,0,0,0,0
3.8.3.2,7/1/2016,0,0,0,0
3.8.2.9,6/10/2016,0,0,0,0
3.8.2.8,6/2/2016,0,0,0,0
3.8.2.6,5/24/2016,0,0,0,0
3.8.2.5,5/19/2016,0,0,0,0
3.8.2.3,4/25/2016,0,0,0,0
3.8.2.2,4/8/2016,0,0,0,0
3.8.2.1,4/7/2016,0,0,0,0
3.46.0.8,10/8/2025,0,5,0,2
3.46.0.7,3/27/2025,0,3,0,0
3.46.0.6,1/11/2024,2,4,1,7
3.46.0.5,8/28/2024,1,2,0,3
3.46.0.4,7/9/2024,0,0,0,3
3.46.0.3,6/11/2024,1,3,1,5
3.46.0.2,5/13/2024,1,5,3,3
3.46.0.1,3/13/2024,6,8,8,6
3.44.0.3,12/20/2023,4,6,2,1
3.44.0.2,11/8/2023,0,6,1,5
3.44.0.1,10/16/2023,10,3,7,0
3.42.0.4,10/3/2023,1,2,2,0
3.42.0.3,8/22/2023,0,3,1,3
3.42.0.2,7/25/2023,2,2,0,6
3.42.0.1,6/21/2023,4,3,4,7
3.40.0.4,4/28/2023,0,1,1,2
3.40.0.3,4/4/2023,0,0,2,3
3.40.0.2,3/9/2023,1,2,1,4
3.40.0.1,2/8/2023,5,5,12,8
3.38.0.4,1/5/2023,0,2,0,7
3.38.0.3,11/23/2022,0,6,0,8
3.38.0.2,10/27/2022,0,5,0,6
3.38.0.1,9/19/2022,11,18,10,8
3.36.1.5,9/15/2022,0,0,0,0
3.36.1.4,8/3/2022,0,3,0,0
3.36.1.3,7/8/2022,2,9,2,5
3.36.1.2,5/26/2022,1,9,0,3
3.36.1.1,4/13/2022,13,10,8,11
3.36.0.4,3/30/2022,0,2,1,1
3.36.0.3,2/16/2022,0,6,1,4
3.36.0.2,1/25/2022,1,12,1,2
3.36.0.1,12/29/2021,12,4,7,5
3.34.0.8,1/13/2022,0,1,0,0
3.34.0.7,12/21/2021,0,0,0,0
3.34.0.6,12/15/2021,0,0,0,0
3.34.0.5,12/13/2021,1,2,6,5
3.34.0.4,11/17/2021,1,10,3,4
3.34.0.3,10/7/2021,0,9,3,3
3.34.0.1,9/14/2021,14,17,18,11
3.32.1.7,8/31/2021,1,5,0,0
3.32.1.6,8/19/2021,1,3,1,1
3.32.1.5,8/4/2021,0,11,0,1
3.32.1.4,7/8/2021,1,9,1,2
3.32.1.3,5/19/2021,1,1,0,2
3.32.1.2,4/29/2021,4,14,4,1
3.32.1.1,3/25/2021,13,14,15,4
3.32.0.5,3/16/2021,0,1,2,0
3.32.0.4,2/1/2021,0,3,2,3
3.32.0.3,12/24/2020,6,6,2,5
3.32.0.2,11/17/2020,5,6,3,5
3.32.0.1,10/8/2020,7,4,8,5
3.30.1.3,9/28/2020,0,1,0,0
3.30.1.2,9/3/2020,1,6,3,1
3.30.1.1,8/10/2020,10,4,7,11
3.30.0.7,7/21/2020,1,0,2,0
3.30.0.6,6/30/2020,1,3,0,1
3.30.0.5,6/18/2020,5,6,3,5
3.30.0.4,6/1/2020,2,8,3,7
3.30.0.3,5/12/2020,0,3,3,4
3.30.0.2,4/28/2020,6,7,5,10
3.30.0.1,4/3/2020,12,3,5,10
3.28.1.3,4/2/2020,0,4,4,3
3.28.1.2,3/17/2020,1,5,0,1
3.28.1.1,3/5/2020,0,3,0,1
3.28.0.4,2/23/2020,3,10,4,4
3.28.0.3,2/5/2020,2,10,3,4
3.28.0.2,1/20/2020,0,11,8,9
3.28.0.1,12/16/2019,17,10,12,41
3.26.0.9,10/29/2019,0,5,1,0
3.26.0.8,10/17/2019,3,8,3,2
3.26.0.6,10/1/2019,4,6,4,7
3.26.0.5,9/16/2019,0,1,0,0
3.26.0.4,9/12/2019,2,3,5,4
3.26.0.3,8/23/2019,2,12,3,11
3.26.0.2,7/26/2019,5,4,4,5
3.26.0.11,12/05/2019,1,9,3,1
3.26.0.10,11/7/2019,2,1,1,1
3.26.0.1,7/15/2019,8,11,15,18
3.24.0.5,6/18/2019,5,4,10,6
3.24.0.4,5/28/2019,2,15,2,2
3.24.0.3,5/7/2019,0,10,4,2
3.24.0.2,4/16/2019,0,14,1,3
3.24.0.1,3/31/2019,15,16,10,10
3.22.1.6,3/13/2019,0,2,1,2
3.22.1.5,3/4/2019,0,14,2,4
3.22.1.4,2/15/2019,0,3,3,6
3.22.1.3,1/25/2019,1,2,0,1
3.22.1.2,1/18/2019,1,12,3,2
3.22.1.1,12/28/2018,2,5,2,3
3.22.0.5,1/16/2019,0,1,0,0
